I,2024-06-12 10:28:17.806650,10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,+3.23800011e+01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,
I,2024-06-12 10:28:17.806736,10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,+1.16099997e+01,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,
I,2024-06-12 10:28:17.806762,10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,+6.58300018e+01,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,
I,2024-06-12 10:28:17.806783,10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,+4.13400002e+01,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,
I,2024-06-12 10:28:17.806803,10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,+5.12999992e+01,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,
I,2024-06-12 10:28:17.806821,10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,+5.81699982e+01,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,
I,2024-06-12 10:28:17.806839,10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,+2.29799995e+01,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,
I,2024-06-12 10:28:17.806855,10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,+1.48330002e+02,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,
I,2024-06-12 10:28:17.807092,10256,WELLI,3,1996-07-15,1996-08-12,1996-07-17,2,+1.39700003e+01,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,
I,2024-06-12 10:28:17.807288,10257,HILAA,4,1996-07-16,1996-08-13,1996-07-22,3,+8.19100037e+01,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,
I,2024-06-12 10:28:17.807499,10258,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1,+1.40509995e+02,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,
I,2024-06-12 10:28:17.807520,10259,CENTC,4,1996-07-18,1996-08-15,1996-07-25,3,+3.25000000e+00,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico,
I,2024-06-12 10:28:17.807685,10260,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1,+5.50900002e+01,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,
I,2024-06-12 10:28:17.807735,10261,QUEDE,4,1996-07-19,1996-08-16,1996-07-30,2,+3.04999995e+00,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,
I,2024-06-12 10:28:17.807804,10262,RATTC,8,1996-07-22,1996-08-19,1996-07-25,3,+4.82900009e+01,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,
I,2024-06-12 10:28:17.807825,10263,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3,+1.46059998e+02,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,
I,2024-06-12 10:28:17.807853,10264,FOLKO,6,1996-07-24,1996-08-21,1996-08-23,3,+3.67000008e+00,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,
I,2024-06-12 10:28:17.807896,10265,BLONP,2,1996-07-25,1996-08-22,1996-08-12,1,+5.52799988e+01,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France,
I,2024-06-12 10:28:17.807921,10266,WARTH,3,1996-07-26,1996-09-06,1996-07-31,3,+2.57299995e+01,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,
I,2024-06-12 10:28:17.808312,10267,FRANK,4,1996-07-29,1996-08-26,1996-08-06,1,+2.08580002e+02,Frankenversand,Berliner Platz 43,München,,80805,Germany,
I,2024-06-12 10:28:17.808322,10268,GROSR,8,1996-07-30,1996-08-27,1996-08-02,3,+6.62900009e+01,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,
I,2024-06-12 10:28:17.808331,10269,WHITC,5,1996-07-31,1996-08-14,1996-08-09,1,+4.55999994e+00,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,
I,2024-06-12 10:28:17.808339,10270,WARTH,1,1996-08-01,1996-08-29,1996-08-02,1,+1.36539993e+02,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,
I,2024-06-12 10:28:17.808348,10271,SPLIR,6,1996-08-01,1996-08-29,1996-08-30,2,+4.53999996e+00,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,
I,2024-06-12 10:28:17.808356,10272,RATTC,6,1996-08-02,1996-08-30,1996-08-06,2,+9.80299988e+01,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,
I,2024-06-12 10:28:17.808365,10273,QUICK,3,1996-08-05,1996-09-02,1996-08-12,3,+7.60699997e+01,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,
I,2024-06-12 10:28:17.808374,10274,VINET,6,1996-08-06,1996-09-03,1996-08-16,1,+6.01000023e+00,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,
I,2024-06-12 10:28:17.808382,10275,MAGAA,1,1996-08-07,1996-09-04,1996-08-09,1,+2.69300003e+01,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,
I,2024-06-12 10:28:17.808390,10276,TORTU,8,1996-08-08,1996-08-22,1996-08-14,3,+1.38400002e+01,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,
I,2024-06-12 10:28:17.808591,10277,MORGK,2,1996-08-09,1996-09-06,1996-08-13,3,+1.25769997e+02,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Germany,
I,2024-06-12 10:28:17.808611,10278,BERGS,8,1996-08-12,1996-09-09,1996-08-16,2,+9.26900024e+01,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,
I,2024-06-12 10:28:17.808620,10279,LEHMS,8,1996-08-13,1996-09-10,1996-08-16,2,+2.58299999e+01,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,
I,2024-06-12 10:28:17.808629,10280,BERGS,2,1996-08-14,1996-09-11,1996-09-12,1,+8.97999954e+00,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,
I,2024-06-12 10:28:17.808637,10281,ROMEY,4,1996-08-14,1996-08-28,1996-08-21,1,+2.94000006e+00,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain,
I,2024-06-12 10:28:17.808676,10282,ROMEY,4,1996-08-15,1996-09-12,1996-08-21,1,+1.26899996e+01,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain,
I,2024-06-12 10:28:17.808689,10283,LILAS,3,1996-08-16,1996-09-13,1996-08-23,3,+8.48099976e+01,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,
I,2024-06-12 10:28:17.808700,10284,LEHMS,4,1996-08-19,1996-09-16,1996-08-27,1,+7.65599976e+01,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,
I,2024-06-12 10:28:17.808710,10285,QUICK,1,1996-08-20,1996-09-17,1996-08-26,2,+7.68300018e+01,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,
I,2024-06-12 10:28:17.808718,10286,QUICK,8,1996-08-21,1996-09-18,1996-08-30,3,+2.29240005e+02,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,
I,2024-06-12 10:28:17.808726,10287,RICAR,8,1996-08-22,1996-09-19,1996-08-28,3,+1.27600002e+01,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,
