I,2024-06-12 10:28:17.798779,10248,11,+1.40000000e+01,12,+0.00000000e+00,
I,2024-06-12 10:28:17.798927,10248,42,+9.80000019e+00,10,+0.00000000e+00,
I,2024-06-12 10:28:17.798943,10248,72,+3.47999992e+01,5,+0.00000000e+00,
I,2024-06-12 10:28:17.798954,10249,14,+1.86000004e+01,9,+0.00000000e+00,
I,2024-06-12 10:28:17.798964,10249,51,+4.24000015e+01,40,+0.00000000e+00,
I,2024-06-12 10:28:17.799013,10250,41,+7.69999981e+00,10,+0.00000000e+00,
I,2024-06-12 10:28:17.799025,10250,51,+4.24000015e+01,35,+1.50000006e-01,
I,2024-06-12 10:28:17.799036,10250,65,+1.67999992e+01,15,+1.50000006e-01,
I,2024-06-12 10:28:17.799047,10251,22,+1.67999992e+01,6,+5.00000007e-02,
I,2024-06-12 10:28:17.799271,10251,57,+1.56000004e+01,15,+5.00000007e-02,
I,2024-06-12 10:28:17.799295,10251,65,+1.67999992e+01,20,+0.00000000e+00,
I,2024-06-12 10:28:17.799305,10252,20,+6.48000031e+01,40,+5.00000007e-02,
I,2024-06-12 10:28:17.799313,10252,33,+2.00000000e+00,25,+5.00000007e-02,
I,2024-06-12 10:28:17.799321,10252,60,+2.72000008e+01,40,+0.00000000e+00,
I,2024-06-12 10:28:17.799330,10253,31,+1.00000000e+01,20,+0.00000000e+00,
I,2024-06-12 10:28:17.799337,10253,39,+1.43999996e+01,42,+0.00000000e+00,
I,2024-06-12 10:28:17.799342,10253,49,+1.60000000e+01,40,+0.00000000e+00,
I,2024-06-12 10:28:17.799347,10254,24,+3.59999990e+00,15,+1.50000006e-01,
I,2024-06-12 10:28:17.799479,10254,55,+1.92000008e+01,21,+1.50000006e-01,
I,2024-06-12 10:28:17.799487,10254,74,+8.00000000e+00,21,+0.00000000e+00,
I,2024-06-12 10:28:17.799493,10255,2,+1.51999998e+01,20,+0.00000000e+00,
I,2024-06-12 10:28:17.799499,10255,16,+1.38999996e+01,35,+0.00000000e+00,
I,2024-06-12 10:28:17.799504,10255,36,+1.51999998e+01,25,+0.00000000e+00,
I,2024-06-12 10:28:17.799510,10255,59,+4.40000000e+01,30,+0.00000000e+00,
I,2024-06-12 10:28:17.799515,10256,53,+2.62000008e+01,15,+0.00000000e+00,
I,2024-06-12 10:28:17.799520,10256,77,+1.03999996e+01,12,+0.00000000e+00,
I,2024-06-12 10:28:17.799525,10257,27,+3.50999985e+01,25,+0.00000000e+00,
I,2024-06-12 10:28:17.799530,10257,39,+1.43999996e+01,6,+0.00000000e+00,
I,2024-06-12 10:28:17.799535,10257,77,+1.03999996e+01,15,+0.00000000e+00,
I,2024-06-12 10:28:17.799540,10258,2,+1.51999998e+01,50,+2.00000003e-01,
I,2024-06-12 10:28:17.799545,10258,5,+1.70000000e+01,65,+2.00000003e-01,
I,2024-06-12 10:28:17.799550,10258,32,+2.56000004e+01,6,+2.00000003e-01,
I,2024-06-12 10:28:17.799555,10259,21,+8.00000000e+00,10,+0.00000000e+00,
I,2024-06-12 10:28:17.799560,10259,37,+2.07999992e+01,1,+0.00000000e+00,
I,2024-06-12 10:28:17.799564,10260,41,+7.69999981e+00,16,+2.50000000e-01,
I,2024-06-12 10:28:17.799569,10260,57,+1.56000004e+01,50,+0.00000000e+00,
I,2024-06-12 10:28:17.799574,10260,62,+3.94000015e+01,15,+2.50000000e-01,
I,2024-06-12 10:28:17.799579,10260,70,+1.20000000e+01,21,+2.50000000e-01,
I,2024-06-12 10:28:17.799584,10261,21,+8.00000000e+00,20,+0.00000000e+00,
I,2024-06-12 10:28:17.799589,10261,35,+1.43999996e+01,20,+0.00000000e+00,
I,2024-06-12 10:28:17.799594,10262,5,+1.70000000e+01,12,+2.00000003e-01,
I,2024-06-12 10:28:17.799598,10262,7,+2.40000000e+01,15,+0.00000000e+00,
I,2024-06-12 10:28:17.799603,10262,56,+3.03999996e+01,2,+0.00000000e+00,
I,2024-06-12 10:28:17.799608,10263,16,+1.38999996e+01,60,+2.50000000e-01,
I,2024-06-12 10:28:17.799613,10263,24,+3.59999990e+00,28,+0.00000000e+00,
I,2024-06-12 10:28:17.799618,10263,30,+2.07000008e+01,60,+2.50000000e-01,
I,2024-06-12 10:28:17.799623,10263,74,+8.00000000e+00,36,+2.50000000e-01,
I,2024-06-12 10:28:17.799627,10264,2,+1.51999998e+01,35,+0.00000000e+00,
I,2024-06-12 10:28:17.799632,10264,41,+7.69999981e+00,25,+1.50000006e-01,
I,2024-06-12 10:28:17.799637,10265,17,+3.12000008e+01,30,+0.00000000e+00,
I,2024-06-12 10:28:17.799642,10265,70,+1.20000000e+01,20,+0.00000000e+00,
I,2024-06-12 10:28:17.799646,10266,12,+3.03999996e+01,12,+5.00000007e-02,
I,2024-06-12 10:28:17.799651,10267,40,+1.46999998e+01,50,+0.00000000e+00,
I,2024-06-12 10:28:17.799656,10267,59,+4.40000000e+01,70,+1.50000006e-01,
I,2024-06-12 10:28:17.799661,10267,76,+1.43999996e+01,15,+1.50000006e-01,
I,2024-06-12 10:28:17.799666,10268,29,+9.90000000e+01,10,+0.00000000e+00,
I,2024-06-12 10:28:17.799671,10268,72,+2.77999992e+01,4,+0.00000000e+00,
I,2024-06-12 10:28:17.799676,10269,33,+2.00000000e+00,60,+5.00000007e-02,
I,2024-06-12 10:28:17.799681,10269,72,+2.77999992e+01,20,+5.00000007e-02,
I,2024-06-12 10:28:17.799686,10270,36,+1.51999998e+01,30,+0.00000000e+00,
I,2024-06-12 10:28:17.799691,10270,43,+3.67999992e+01,25,+0.00000000e+00,
I,2024-06-12 10:28:17.799696,10271,33,+2.00000000e+00,24,+0.00000000e+00,
I,2024-06-12 10:28:17.799700,10272,20,+6.48000031e+01,6,+0.00000000e+00,
