I,2024-06-12 10:28:18.671121,1,Alabama,AL,south,
I,2024-06-12 10:28:18.671162,2,Alaska,AK,north,
I,2024-06-12 10:28:18.671167,3,Arizona,AZ,west,
I,2024-06-12 10:28:18.671172,4,Arkansas,AR,south,
I,2024-06-12 10:28:18.671177,5,California,CA,west,
I,2024-06-12 10:28:18.671182,6,Colorado,CO,west,
I,2024-06-12 10:28:18.671186,7,Connecticut,CT,east,
I,2024-06-12 10:28:18.671191,8,Delaware,DE,east,
I,2024-06-12 10:28:18.671196,9,District of Columbia,DC,east,
I,2024-06-12 10:28:18.671201,10,Florida,FL,south,
I,2024-06-12 10:28:18.671205,11,Georgia,GA,south,
I,2024-06-12 10:28:18.671210,12,Hawaii,HI,west,
I,2024-06-12 10:28:18.671214,13,Idaho,ID,midwest,
I,2024-06-12 10:28:18.671219,14,Illinois,IL,midwest,
I,2024-06-12 10:28:18.671223,15,Indiana,IN,midwest,
I,2024-06-12 10:28:18.671228,16,Iowa,IO,midwest,
I,2024-06-12 10:28:18.671232,17,Kansas,KS,midwest,
I,2024-06-12 10:28:18.671237,18,Kentucky,KY,south,
I,2024-06-12 10:28:18.671241,19,Louisiana,LA,south,
I,2024-06-12 10:28:18.671246,20,Maine,ME,north,
I,2024-06-12 10:28:18.671250,21,Maryland,MD,east,
I,2024-06-12 10:28:18.671255,22,Massachusetts,MA,north,
I,2024-06-12 10:28:18.671259,23,Michigan,MI,north,
I,2024-06-12 10:28:18.671264,24,Minnesota,MN,north,
I,2024-06-12 10:28:18.671268,25,Mississippi,MS,south,
I,2024-06-12 10:28:18.671273,26,Missouri,MO,south,
I,2024-06-12 10:28:18.671277,27,Montana,MT,west,
I,2024-06-12 10:28:18.671282,28,Nebraska,NE,midwest,
I,2024-06-12 10:28:18.671286,29,Nevada,NV,west,
I,2024-06-12 10:28:18.671291,30,New Hampshire,NH,east,
I,2024-06-12 10:28:18.671295,31,New Jersey,NJ,east,
I,2024-06-12 10:28:18.671477,32,New Mexico,NM,west,
I,2024-06-12 10:28:18.671488,33,New York,NY,east,
I,2024-06-12 10:28:18.671497,34,North Carolina,NC,east,
I,2024-06-12 10:28:18.671505,35,North Dakota,ND,midwest,
I,2024-06-12 10:28:18.671513,36,Ohio,OH,midwest,
I,2024-06-12 10:28:18.671521,37,Oklahoma,OK,midwest,
I,2024-06-12 10:28:18.671528,38,Oregon,OR,west,
I,2024-06-12 10:28:18.671536,39,Pennsylvania,PA,east,
I,2024-06-12 10:28:18.671545,40,Rhode Island,RI,east,
I,2024-06-12 10:28:18.671552,41,South Carolina,SC,east,
I,2024-06-12 10:28:18.671556,42,South Dakota,SD,midwest,
I,2024-06-12 10:28:18.671561,43,Tennessee,TN,midwest,
I,2024-06-12 10:28:18.671566,44,Texas,TX,west,
I,2024-06-12 10:28:18.671570,45,Utah,UT,west,
I,2024-06-12 10:28:18.671574,46,Vermont,VT,east,
I,2024-06-12 10:28:18.671579,47,Virginia,VA,east,
I,2024-06-12 10:28:18.671583,48,Washington,WA,west,
I,2024-06-12 10:28:18.671588,49,West Virginia,WV,south,
I,2024-06-12 10:28:18.671593,50,Wisconsin,WI,midwest,
I,2024-06-12 10:28:18.671597,51,Wyoming,WY,west,
